Make,Number.of.Engines,Engine.Type,Injury.Severity,Aircraft.damage,Dmg.Binary
PIPER,1.0,Reciprocating,Non-Fatal,Destroyed,True
PIPER,1.0,Reciprocating,Fatal(5),Destroyed,True
PIPER,2.0,Reciprocating,Non-Fatal,Destroyed,True
HICKS/MERVIN,0.0,Unknown,Fatal(1),Destroyed,True
MOONEY,1.0,Reciprocating,Fatal(2),Destroyed,True
PIPER,1.0,Reciprocating,Non-Fatal,Substantial,True
HOWARD AIRCRAFT CORP.,1.0,Reciprocating,Non-Fatal,Substantial,True
CONTINENTAL COPTERS,1.0,Reciprocating,Non-Fatal,Substantial,True
EXPERIMENTAL,1.0,Reciprocating,Non-Fatal,Substantial,True
PITTS,1.0,Reciprocating,Non-Fatal,Substantial,True
