Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Dmg.binary
Non-Fatal,Destroyed,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,0.0,1.0,1.0,0.0,1
Fatal(4),Destroyed,Airplane,Cessna,210N,No,1.0,Reciprocating,Part 91: General Aviation,4.0,1.0,1.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,310L,No,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Incident,Minor,Airplane,Embraer,EMB-110P1,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,2.0,0
Non-Fatal,Destroyed,Airplane,Cessna,414,No,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,3.0,0.0,1
Non-Fatal,Substantial,Airplane,Beech,P35,No,1.0,Reciprocating,Part 91: General Aviation,0.0,1.0,0.0,1.0,1
Non-Fatal,Destroyed,Airplane,Grumman,AA5B,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-28R-201T,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,Beech,A23-24,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,4.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-31-350,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,2.0,1
Fatal(3),Destroyed,Airplane,Cessna,T210N,No,1.0,Reciprocating,Part 91: General Aviation,3.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Swearingen,SA 226-TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,0.0,1.0,2.0,12.0,1
Non-Fatal,Substantial,Airplane,Beech,C-45H,No,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,De Havilland,DHC-2-MK3,No,1.0,Turbo Prop,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,4.0,1
Non-Fatal,Substantial,Airplane,Cessna,150M,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Fatal(1),Destroyed,Airplane,Cessna,150M,No,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Fatal(1),Destroyed,Airplane,Bede Aircraft,BD-5B,Yes,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Non-Fatal,Destroyed,Airplane,Cessna,182P,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,1
Non-Fatal,Destroyed,Airplane,Convair,440,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,0.0,0.0,2.0,1.0,1
Fatal(1),Destroyed,Airplane,Piper,PA-31,No,2.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Non-Fatal,Destroyed,Airplane,Piper,PA-31T,No,2.0,Turbo Prop,Part 91: General Aviation,0.0,0.0,3.0,0.0,1
Fatal(2),Destroyed,Airplane,Beech,F50,No,2.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,1
Non-Fatal,Destroyed,Airplane,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,180E,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,170B,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Destroyed,Airplane,Beech,C23,No,1.0,Reciprocating,Part 91: General Aviation,0.0,2.0,2.0,0.0,1
Fatal(1),Destroyed,Airplane,Cessna,172M,No,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Fatal(3),Destroyed,Airplane,Piper,PA-28-180,No,1.0,Reciprocating,Part 91: General Aviation,3.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,180K,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Fatal(4),Substantial,Airplane,Cessna,210L,No,1.0,Reciprocating,Part 91: General Aviation,4.0,0.0,0.0,0.0,1
Fatal(1),Destroyed,Airplane,Mooney,M20F,No,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Fatal(2),Destroyed,Airplane,Beech,G35,No,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,1
Fatal(1),Destroyed,Airplane,Cessna,177B,No,1.0,Reciprocating,Part 91: General Aviation,1.0,2.0,0.0,0.0,1
Fatal(3),Destroyed,Airplane,Grumman,AA5A,No,1.0,Reciprocating,Part 91: General Aviation,3.0,0.0,0.0,0.0,1
