Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Dmg.binary
Fatal,Substantial,Airplane,PIPER,PA-23,No,2.0,Reciprocating,091,2.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,WSL PZL,Mielec,No,1.0,Turbo Prop,137,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,North American,P-51D,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Kolb,Mark II,Yes,1.0,Reciprocating,091,0.0,1.0,1.0,0.0,1
Non-Fatal,Substantial,Airplane,Eclipse Aviation Corporation,EA500,No,2.0,Turbo Fan,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Bristol,Titan Tornado II,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Fowler,SX300,Yes,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-22,No,1.0,Reciprocating,091,0.0,3.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,CESSNA,172,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,CESSNA,TU206E,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Fatal,Destroyed,Airplane,Raytheon Corporate Jets,BAE 125-800A,No,2.0,Turbo Fan,135,8.0,0.0,0.0,0.0,1
Fatal,Substantial,Airplane,MOSER GEORG,LANCAIR LEGACY FG,Yes,1.0,Reciprocating,091,2.0,0.0,0.0,0.0,1
Fatal,Substantial,Airplane,Morris George,Velocity 173RG,Yes,1.0,Reciprocating,091,2.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Aero Commander,200D,No,1.0,Reciprocating,091,0.0,0.0,1.0,0.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-22,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Fatal,Destroyed,Airplane,LONG,Lancair ES,Yes,1.0,Reciprocating,091,2.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,DIAMOND,DA-20-C1,No,1.0,Reciprocating,091,0.0,2.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-12,No,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Weatherly,201B,No,1.0,Reciprocating,137,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Prendergast,RV-7A,Yes,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cubcrafter,CC11-100,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,CESSNA,172,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,CESSNA,T210,No,1.0,Reciprocating,091,0.0,1.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-28R-200,No,1.0,Reciprocating,091,0.0,0.0,0.0,4.0,1
Non-Fatal,Substantial,Airplane,CESSNA,172RG,No,1.0,Reciprocating,091,0.0,2.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Ercoupe (Eng & Research Corp.),415-C,No,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-25-235,No,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Beech,H35,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Powrachute,PC 2000,No,1.0,Reciprocating,091,0.0,0.0,2.0,0.0,1
Non-Fatal,Substantial,Airplane,Air Creation,Clipper 912,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,CESSNA,182L,No,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,CESSNA,172,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-32RT-300T,No,1.0,Reciprocating,091,0.0,2.0,0.0,0.0,1
Fatal,Substantial,Airplane,Osborne,Challenger II,Yes,1.0,Reciprocating,091,1.0,0.0,1.0,0.0,1
Non-Fatal,Substantial,Airplane,CESSNA,550,No,2.0,Turbo Fan,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-18-150,No,1.0,Reciprocating,091,0.0,1.0,1.0,0.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-20,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,172M,No,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Non-Fatal,Destroyed,Airplane,BEECH,C23,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Fatal,Substantial,Airplane,GRUMMAN,G-21A,No,2.0,Reciprocating,NUSC,5.0,1.0,1.0,0.0,1
Fatal,Destroyed,Airplane,CESSNA,172K,No,1.0,Reciprocating,091,2.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-31-350,No,2.0,Reciprocating,135,0.0,2.0,1.0,5.0,1
Non-Fatal,Substantial,Airplane,Piper Aircraft,PA-32R-301,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,150L,No,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,de Havilland,Beaver DHC-2 MK.1,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Collard,Dragonfly,No,1.0,Reciprocating,091,0.0,0.0,1.0,0.0,1
Fatal,Substantial,Airplane,PIPER,PA-12,No,1.0,Reciprocating,091,2.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,BEECH,B35,No,1.0,Reciprocating,091,0.0,0.0,1.0,1.0,1
Non-Fatal,Substantial,Airplane,Flynn Van,Munk,Yes,1.0,Reciprocating,091,0.0,1.0,1.0,0.0,1
Non-Fatal,Substantial,Airplane,Air Tractor,301,No,1.0,Reciprocating,137,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Evektor Aerotechnik AS,Sportstar,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-18,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,182D,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Beech,C23,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Ouzts Rodney,Rutan-LongEZ,Yes,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Grumman,G-164A,No,1.0,Reciprocating,137,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-18,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Lyons,Navajo HKS,No,1.0,Reciprocating,091,0.0,0.0,2.0,0.0,1
Non-Fatal,Substantial,Airplane,Cosmos,Phase II,No,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Grumman-Schweizer,G-164B,No,1.0,Reciprocating,137,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Falk,Zodiac HDS-601,Yes,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Fatal,Substantial,Airplane,Piper,PA-28-181,No,1.0,Reciprocating,091,3.0,0.0,0.0,0.0,1
Fatal,Substantial,Airplane,CESSNA,172S,No,1.0,Reciprocating,091,1.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Boeing,E75,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Schweizer,G-164A,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Fatal,Substantial,Airplane,CESSNA,180K,No,1.0,Reciprocating,091,2.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Smith,Stewart S51D,Yes,1.0,Reciprocating,091,0.0,0.0,1.0,0.0,1
Non-Fatal,Substantial,Airplane,Bellanca,17-30A,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-28-235,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,172S,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-20/22,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Morane-Saulnier,MS-760/B,No,2.0,Turbo Jet,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,CESSNA,182,No,1.0,Reciprocating,091,0.0,0.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,BELLANCA,8GCBC,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Air Tractor,AT-402,No,1.0,Turbo Prop,137,0.0,0.0,0.0,1.0,1
Fatal,Destroyed,Airplane,CESSNA,182,No,1.0,Reciprocating,091,1.0,0.0,0.0,0.0,1
Fatal,Destroyed,Airplane,CESSNA,R172K,No,1.0,Reciprocating,091,3.0,0.0,0.0,0.0,1
Fatal,Destroyed,Airplane,CESSNA,182,No,1.0,Reciprocating,091,2.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,091,0.0,2.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,PIPER,J-3,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Air Tractor,AT-802A,No,1.0,Turbo Prop,137,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,A188B,No,1.0,Reciprocating,137,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,CESSNA,172,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Fatal,Destroyed,Airplane,Dickey,RV-6A,Yes,1.0,Reciprocating,091,1.0,0.0,0.0,0.0,1
Fatal,Substantial,Airplane,BEECH,95-B55,No,2.0,Reciprocating,091,2.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Mooney,M20F,No,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-25-235,No,1.0,Reciprocating,137,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Steven A. Jones,Lancair IV P,Yes,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Fatal,Destroyed,Airplane,BEECH,G35,No,1.0,Reciprocating,091,3.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,210E,No,1.0,Reciprocating,091,0.0,1.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,Anglin,RV-6,Yes,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Fatal,Substantial,Airplane,Bowman,Titan Tornado II,Yes,1.0,Reciprocating,091,1.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Air Tractor,AT-401,No,1.0,Reciprocating,137,0.0,0.0,0.0,1.0,1
Fatal,Substantial,Airplane,ERCOUPE,415-C,No,1.0,Reciprocating,091,1.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Aerotek,Pitts Special S-1S,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Air Tractor,AT-301B,No,1.0,Reciprocating,137,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,AIR TRACTOR,AT-502B,No,1.0,Turbo Prop,137,0.0,0.0,0.0,1.0,1
Non-Fatal,Destroyed,Airplane,Piper,PA-24-250,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-34-200T,No,2.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Aircraft Mfg & Dev. Co. (AMD),CH601XLi,No,1.0,Reciprocating,091,0.0,1.0,1.0,0.0,1
Fatal,Substantial,Airplane,Kolb,Mark III,No,1.0,Reciprocating,091,1.0,0.0,0.0,0.0,1
Fatal,Destroyed,Airplane,BEECH,58TC,No,2.0,Reciprocating,091,1.0,0.0,0.0,0.0,1
Fatal,Destroyed,Airplane,CESSNA,TR182,No,1.0,Reciprocating,091,1.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Walker,AK Bush Flyer,Yes,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Non-Fatal,Minor,Airplane,Raytheon Aircraft Company,C90A,No,2.0,Turbo Prop,091,0.0,0.0,0.0,1.0,0
Non-Fatal,Substantial,Airplane,Cessna,172R,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,EMBRAER,EMB-145LR,No,2.0,Turbo Fan,121,0.0,0.0,0.0,36.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-18-150,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Fatal,Destroyed,Airplane,CESSNA,182T,No,1.0,Reciprocating,091,4.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-22-160,No,1.0,Reciprocating,091,0.0,1.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-28-140,No,1.0,Reciprocating,091,0.0,1.0,0.0,2.0,1
Fatal,Substantial,Airplane,CESSNA,177,No,1.0,Reciprocating,091,1.0,0.0,2.0,0.0,1
Non-Fatal,Substantial,Airplane,SOCATA,MS894A,No,1.0,Reciprocating,091,0.0,2.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Rouse,Glasair III,Yes,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,172N,No,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,140A,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,182C,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Costruzioni Aeronautiche,P2002 Sierra,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Air Tractor,AT-400A,No,1.0,Turbo Prop,137,0.0,0.0,0.0,1.0,1
Fatal,Substantial,Airplane,AYRES,S2R-T15,No,1.0,Turbo Prop,137,1.0,0.0,0.0,0.0,1
Fatal,Substantial,Airplane,Roberto P. Garcia,Nieuport 24bis,Yes,1.0,Reciprocating,091,1.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,177,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Eberle,Pitts S1S,Yes,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,CESSNA,207A,No,1.0,Reciprocating,135,0.0,0.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,Grumman Acft Eng,G-164A,No,1.0,Turbo Prop,137,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Wheat,Excalibur EX,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-22-160,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,CESSNA,TU206F,No,1.0,Reciprocating,135,0.0,0.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-18-150,No,1.0,Reciprocating,PUBU,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,CESSNA,177RG,No,1.0,Reciprocating,091,0.0,0.0,0.0,4.0,1
Fatal,Substantial,Airplane,CESSNA,501,No,2.0,Turbo Fan,091,1.0,0.0,0.0,0.0,1
Fatal,Substantial,Airplane,PIPER,PA-28-180,No,1.0,Reciprocating,091,2.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,CESSNA,441,No,2.0,Turbo Prop,091,0.0,0.0,0.0,4.0,1
Non-Fatal,Substantial,Airplane,CESSNA,182,No,1.0,Reciprocating,091,0.0,0.0,2.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,A188B,No,1.0,Reciprocating,137,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Hawker,Sea Fury TMK 20,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,CESSNA,TU206G,No,1.0,Reciprocating,091,0.0,4.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,U206G,No,1.0,Reciprocating,135,0.0,0.0,0.0,5.0,1
Non-Fatal,Substantial,Airplane,CESSNA,182Q,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Ferree,Prostar B,Yes,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Fatal,Destroyed,Airplane,SOCATA,RALLYE 235E,No,1.0,Reciprocating,091,1.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,NTBK,Wag Aero Sport,Yes,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-11,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,MURRAY FRANK H,DA5B,Yes,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Haines,Searey,Yes,1.0,Reciprocating,091,0.0,0.0,1.0,0.0,1
Fatal,Substantial,Airplane,BEECH,A100,No,2.0,Turbo Prop,091,10.0,0.0,0.0,0.0,1
Fatal,Destroyed,Airplane,Killgore,Velocity,Yes,1.0,Reciprocating,091,1.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Air Tractor,AT-301,No,1.0,Reciprocating,137,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,AIR TRACTOR,AT-502,No,1.0,Turbo Prop,137,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,SACREY W MICHAEL,ZENAIR CH,Yes,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,CESSNA,207A,No,1.0,Reciprocating,135,0.0,2.0,0.0,4.0,1
Non-Fatal,Substantial,Airplane,Schweizer,G-164B,No,1.0,Turbo Prop,137,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Christen Industries,A-1,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,CESSNA,152,No,1.0,Reciprocating,091,0.0,2.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,LAKE,LA-4,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Fatal,Substantial,Airplane,PIPER,PA-24-250,No,1.0,Reciprocating,091,3.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Bellanca,14-19-2,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Europro CZ,Eurofox,No,1.0,Reciprocating,091,0.0,2.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-28-161,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,CESSNA,172,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Air Tractor,AT-301A,No,1.0,Reciprocating,137,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,ANDERSON R E/ABROMAVICH L J,LANCAIR 360,Yes,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,SCHWEIZER AIRCRAFT CORP,G-164B,No,1.0,Turbo Prop,137,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cirrus Design Corp.,SR20,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,CESSNA,172,No,1.0,Reciprocating,NUSN,0.0,0.0,2.0,0.0,1
Non-Fatal,Substantial,Airplane,AIR TRACTOR,AT-802A,No,1.0,Turbo Prop,PUBU,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,CESSNA,177RG,No,1.0,Reciprocating,091,0.0,0.0,2.0,0.0,1
Non-Fatal,Substantial,Airplane,CESSNA,182A,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Fatal,Substantial,Airplane,PIPER,PA-31-350,No,2.0,Reciprocating,091,1.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,CESSNA,TR182,No,1.0,Reciprocating,135,0.0,0.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,Mason,Falconar F-11,Yes,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,BEECH,C23,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Helie,RV-6,Yes,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,CESSNA,172A,No,1.0,Reciprocating,091,0.0,1.0,1.0,0.0,1
Non-Fatal,Substantial,Airplane,Gulfstream-Schweizer,G-164B,No,1.0,Reciprocating,137,0.0,0.0,0.0,1.0,1
Fatal,Substantial,Airplane,Lien,Zodiac 601 XL,Yes,1.0,Reciprocating,091,1.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Ercoupe (Eng & Research Corp.),415-C,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,CESSNA,172N,No,1.0,Reciprocating,091,0.0,2.0,1.0,0.0,1
Fatal,Substantial,Airplane,MOONEY,M20C,No,1.0,Reciprocating,091,1.0,0.0,1.0,0.0,1
Non-Fatal,Substantial,Airplane,CESSNA,182A,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cirrus Design Corp.,SR-22,No,1.0,Reciprocating,091,0.0,0.0,0.0,4.0,1
Non-Fatal,Substantial,Airplane,Cessna,150H,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,CESSNA,172,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Quicksilver,MXL II,No,1.0,Reciprocating,091,0.0,0.0,1.0,0.0,1
Non-Fatal,Substantial,Airplane,de Havilland,DHC-2,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,DEHAVILLAND,DH82A,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Fatal,Substantial,Airplane,PIPER,PA-18-150,No,1.0,Reciprocating,091,1.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Wasson Loehle,Loehle P-40,Yes,1.0,Reciprocating,091,0.0,0.0,1.0,0.0,1
Non-Fatal,Substantial,Airplane,Fairchild,SW3,No,2.0,Turbo Prop,091,0.0,0.0,0.0,1.0,1
Fatal,Substantial,Airplane,CESSNA,T310R,No,2.0,Reciprocating,091,1.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,FANTASY AIR SRO,ALLEGRO 20,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-22-150,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,150J,No,1.0,Reciprocating,091,0.0,2.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,CESSNA,206,No,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-22,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Destroyed,Airplane,CESSNA,340A,No,2.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Fatal,Destroyed,Airplane,CONVAIR,CV-580,No,2.0,Turbo Prop,091,3.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,CESSNA,172SP,No,1.0,Reciprocating,091,0.0,0.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,CESSNA,207,No,1.0,Reciprocating,135,0.0,4.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,BELLANCA,8GCBC,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-22,No,1.0,Reciprocating,091,0.0,0.0,0.0,4.0,1
Non-Fatal,Substantial,Airplane,CESSNA,172M,No,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,CESSNA,560,No,2.0,Turbo Fan,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,ROCKWELL INTERNATIONAL,S-2R,No,1.0,Turbo Prop,137,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,LANCAIR,Propjet,Yes,1.0,Turbo Prop,091,0.0,2.0,0.0,0.0,1
Fatal,Destroyed,Airplane,LOCKHEED,P2V-7,No,4.0,Turbo Jet,PUBU,3.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,STEPPLING,RV-6A,Yes,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,CESSNA,T182T,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,PIPER,PA-18-150,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Sadler,Vampire,Yes,1.0,Reciprocating,091,0.0,1.0,0.0,0.0,1
Fatal,Substantial,Airplane,SOCATA,TB-20 Trinidad,No,1.0,Reciprocating,091,1.0,0.0,1.0,0.0,1
Non-Fatal,Substantial,Airplane,CESSNA,172K,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,WEATHERLY,620B,No,1.0,Reciprocating,137,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,CESSNA,A185F,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,CESSNA,172RG,No,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,CESSNA,182D,No,1.0,Reciprocating,091,0.0,2.0,1.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,185,No,1.0,Reciprocating,091,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Smith Wylie Jay,Kit Fox II,Yes,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,DIEHL WILLIAM A,S-4,Yes,1.0,Reciprocating,091,0.0,0.0,0.0,1.0,1
